surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
b'yes',b'adult',38.2,42,20,b'?',b'?',b'normal pink',b'<3',b'?',b'hypomotile',b'?',b'?',b'?',,b'decreased',b'?',47,60,b'?',,b'lived',b'no'
b'yes',b'adult',39.3,64,90,b'warm',b'reduced',b'normal pink',b'<3',b'?',b'hypomotile',b'none',b'none',b'>1l',6.5,b'normal',b'distended large intestine',39,6.7,b'?',,b'lived',b'yes'
b'yes',b'adult',37.5,60,50,b'cool',b'reduced',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'slight',b'>1l',3.5,b'decreased',b'distended small intestine',35,6.5,b'?',,b'died',b'yes'
b'yes',b'adult',37.7,80,,b'cool',b'reduced',b'dark cyanotic',b'<3',b'continuous severe pain',b'absent',b'none',b'slight',b'<1l',,b'decreased',b'normal',50,55,b'serosanguinous',2,b'lived',b'yes'
b'yes',b'adult',,100,30,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'significant',b'<1l',,b'absent',b'distended small intestine',52,6.6,b'?',,b'lived',b'yes'
b'yes',b'adult',37.7,120,28,b'cool',b'reduced',b'pale pink',b'<3',b'continuous severe pain',b'hypomotile',b'moderate',b'none',b'none',,b'?',b'?',65,7,b'serosanguinous',,b'died',b'yes'
b'yes',b'adult',,76,,b'?',b'reduced',b'?',b'?',b'?',b'absent',b'severe',b'?',b'?',,b'?',b'distended large intestine',,,b'?',,b'euthanized',b'yes'
b'yes',b'young',38.8,150,50,b'normal',b'reduced',b'dark cyanotic',b'>=3',b'continuous severe pain',b'hypomotile',b'slight',b'none',b'none',,b'?',b'?',50,6.2,b'?',,b'died',b'yes'
b'yes',b'adult',38,36,16,b'cool',b'normal',b'normal pink',b'<3',b'intermittent severe pain',b'normal',b'slight',b'significant',b'<1l',2,b'decreased',b'?',37,75,b'cloudy',1,b'euthanized',b'no'
b'no',b'adult',36.9,50,40,b'warm',b'reduced',b'pale pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'significant',b'none',7,b'?',b'?',37.5,6.5,b'?',,b'lived',b'no'
b'no',b'adult',37.8,40,16,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'?',b'?',,b'normal',b'normal',37,6.8,b'?',,b'lived',b'no'
b'no',b'adult',38.2,56,40,b'cold',b'reduced',b'normal pink',b'<3',b'depressed',b'absent',b'moderate',b'slight',b'>1l',7.5,b'?',b'?',47,7.2,b'clear',2.5,b'lived',b'no'
b'yes',b'adult',38.6,48,12,b'?',b'?',b'normal pink',b'?',b'alert no pain',b'hypermotile',b'?',b'?',b'?',,b'?',b'?',36,67,b'?',,b'lived',b'no'
b'no',b'adult',40,78,,b'cool',b'reduced',b'bright red',b'<3',b'depressed',b'hypomotile',b'none',b'none',b'none',,b'absent',b'normal',66,6.5,b'?',,b'died',b'yes'
b'yes',b'adult',,70,16,b'cool',b'absent',b'bright red',b'>=3',b'depressed',b'hypomotile',b'slight',b'slight',b'none',,b'absent',b'distended large intestine',60,7.5,b'?',,b'died',b'yes'
b'yes',b'adult',38.2,72,18,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',35,6.4,b'?',,b'lived',b'yes'
b'no',b'adult',38.5,54,,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypermotile',b'none',b'slight',b'none',,b'normal',b'?',40,6.8,b'cloudy',7,b'lived',b'no'
b'yes',b'adult',38.5,66,24,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'slight',b'none',,b'absent',b'distended large intestine',40,6.7,b'clear',,b'lived',b'yes'
b'no',b'adult',37.8,82,12,b'cool',b'normal',b'normal pink',b'>=3',b'intermittent severe pain',b'?',b'moderate',b'none',b'<1l',,b'?',b'?',50,7,b'?',,b'euthanized',b'yes'
b'no',b'young',39.5,84,30,b'?',b'?',b'?',b'<3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',28,5,b'?',,b'lived',b'no'
b'yes',b'adult',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'lived',b'yes'
b'yes',b'adult',38,50,36,b'?',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'normal',b'slight',b'?',b'?',,b'decreased',b'?',39,6.6,b'clear',5.3,b'lived',b'yes'
b'no',b'adult',38.6,45,16,b'warm',b'normal',b'bright pink',b'<3',b'alert no pain',b'hypermotile',b'?',b'?',b'?',,b'normal',b'normal',43,58,b'?',,b'lived',b'no'
b'yes',b'adult',38.9,80,44,b'cool',b'reduced',b'pale pink',b'<3',b'depressed',b'hypomotile',b'moderate',b'slight',b'>1l',7,b'decreased',b'normal',54,6.5,b'serosanguinous',,b'died',b'yes'
b'yes',b'adult',37,66,20,b'normal',b'reduced',b'bright pink',b'<3',b'intermittent severe pain',b'hypomotile',b'moderate',b'none',b'?',,b'normal',b'distended large intestine',35,6.9,b'cloudy',,b'died',b'yes'
b'yes',b'adult',,78,24,b'cool',b'reduced',b'pale pink',b'<3',b'?',b'hypomotile',b'?',b'slight',b'none',,b'?',b'distended small intestine',43,62,b'?',2,b'euthanized',b'no'
b'no',b'adult',38.5,40,16,b'normal',b'normal',b'normal pink',b'<3',b'depressed',b'hypermotile',b'none',b'?',b'?',,b'decreased',b'other',37,67,b'?',,b'lived',b'no'
b'yes',b'adult',,120,70,b'cold',b'?',b'pale cyanotic',b'>=3',b'depressed',b'absent',b'?',b'?',b'?',,b'?',b'distended large intestine',55,65,b'?',,b'euthanized',b'no'
b'no',b'adult',37.2,72,24,b'cool',b'increased',b'pale cyanotic',b'>=3',b'intermittent severe pain',b'hypomotile',b'moderate',b'significant',b'none',,b'absent',b'distended small intestine',44,,b'serosanguinous',3.3,b'euthanized',b'yes'
b'yes',b'adult',37.5,72,30,b'cold',b'reduced',b'pale cyanotic',b'<3',b'intermittent severe pain',b'absent',b'moderate',b'slight',b'none',,b'decreased',b'distended large intestine',60,6.8,b'?',,b'died',b'yes'
b'yes',b'adult',36.5,100,24,b'cool',b'reduced',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'significant',b'none',,b'absent',b'distended small intestine',50,6,b'serosanguinous',3.4,b'lived',b'yes'
b'yes',b'adult',37.2,40,20,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'absent',b'normal',36,62,b'clear',1,b'euthanized',b'no'
b'no',b'adult',38.5,54,20,b'?',b'normal',b'bright pink',b'>=3',b'intermittent mild pain',b'absent',b'none',b'slight',b'>1l',5.9,b'?',b'other',42,6.3,b'?',,b'lived',b'no'
b'no',b'adult',37.6,48,36,b'?',b'?',b'normal pink',b'<3',b'?',b'hypomotile',b'?',b'?',b'?',,b'?',b'?',44,6.3,b'clear',5,b'lived',b'no'
b'yes',b'adult',37.7,44,28,b'?',b'absent',b'pale pink',b'>=3',b'continuous severe pain',b'absent',b'severe',b'none',b'none',,b'decreased',b'distended large intestine',45,70,b'serosanguinous',2,b'lived',b'yes'
b'yes',b'adult',37,56,24,b'cool',b'normal',b'pale cyanotic',b'>=3',b'intermittent severe pain',b'absent',b'moderate',b'none',b'none',,b'?',b'?',35,61,b'serosanguinous',2,b'euthanized',b'no'
b'no',b'adult',38,42,12,b'cool',b'?',b'pale pink',b'<3',b'alert no pain',b'?',b'none',b'?',b'?',,b'?',b'other',37,5.8,b'?',,b'lived',b'no'
b'yes',b'adult',,60,40,b'cool',b'?',b'normal pink',b'<3',b'?',b'absent',b'?',b'significant',b'>1l',,b'?',b'distended large intestine',42,72,b'?',,b'lived',b'yes'
b'no',b'adult',38.4,80,60,b'cool',b'increased',b'bright pink',b'<3',b'intermittent mild pain',b'normal',b'none',b'slight',b'>1l',,b'normal',b'normal',54,6.9,b'?',,b'lived',b'no'
b'no',b'adult',37.8,48,12,b'warm',b'normal',b'bright pink',b'<3',b'intermittent mild pain',b'?',b'none',b'slight',b'?',,b'increased',b'?',48,7.3,b'clear',,b'lived',b'no'
b'?',b'adult',38,65,40,b'?',b'normal',b'pale cyanotic',b'>=3',b'depressed',b'?',b'?',b'?',b'?',,b'?',b'distended large intestine',,,b'?',,b'?',b'yes'
b'no',b'adult',37.9,45,36,b'cool',b'reduced',b'pale pink',b'>=3',b'depressed',b'hypomotile',b'none',b'slight',b'none',,b'decreased',b'?',33,5.7,b'serosanguinous',,b'lived',b'yes'
b'no',b'adult',39,84,12,b'cool',b'normal',b'bright red',b'<3',b'depressed',b'absent',b'slight',b'none',b'>1l',7,b'?',b'distended small intestine',62,5.9,b'cloudy',2.2,b'died',b'yes'
b'no',b'adult',38.2,60,24,b'cool',b'normal',b'pale pink',b'>=3',b'intermittent mild pain',b'hypomotile',b'slight',b'significant',b'<1l',,b'absent',b'distended small intestine',53,7.5,b'cloudy',1.4,b'lived',b'no'
b'yes',b'adult',,140,,b'?',b'?',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'none',b'none',,b'?',b'distended large intestine',30,69,b'?',,b'died',b'no'
b'yes',b'adult',37.9,120,60,b'cool',b'reduced',b'pale pink',b'<3',b'continuous severe pain',b'absent',b'severe',b'slight',b'>1l',7.5,b'absent',b'distended large intestine',52,6.6,b'serosanguinous',1.8,b'died',b'yes'
b'no',b'adult',38,72,36,b'normal',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'?',b'slight',b'slight',b'none',,b'decreased',b'distended large intestine',38,6.8,b'cloudy',2,b'lived',b'no'
b'no',b'young',38,92,28,b'normal',b'normal',b'bright pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'significant',b'?',7.2,b'?',b'?',37,6.1,b'clear',1.1,b'lived',b'no'
b'yes',b'adult',38.3,66,30,b'warm',b'reduced',b'normal pink',b'<3',b'depressed',b'absent',b'moderate',b'significant',b'>1l',8.5,b'absent',b'distended large intestine',37,6,b'?',,b'lived',b'yes'
b'no',b'adult',37.5,48,24,b'cool',b'normal',b'normal pink',b'<3',b'depressed',b'hypermotile',b'?',b'none',b'none',,b'decreased',b'other',43,6,b'clear',2.8,b'lived',b'no'
b'yes',b'adult',37.5,88,20,b'warm',b'reduced',b'pale pink',b'<3',b'intermittent severe pain',b'hypomotile',b'moderate',b'?',b'?',,b'?',b'?',35,6.4,b'clear',,b'died',b'yes'
b'no',b'young',,150,60,b'cold',b'absent',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'?',b'?',,b'?',b'?',,,b'?',,b'died',b'yes'
b'yes',b'adult',39.7,100,30,b'?',b'?',b'dark cyanotic',b'>=3',b'intermittent severe pain',b'absent',b'moderate',b'none',b'?',,b'absent',b'distended large intestine',65,75,b'?',,b'euthanized',b'yes'
b'yes',b'adult',38.3,80,,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'moderate',b'slight',b'none',,b'absent',b'distended small intestine',45,7.5,b'cloudy',4.6,b'lived',b'yes'
b'no',b'adult',37.5,40,32,b'cool',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'normal',b'moderate',b'slight',b'none',,b'?',b'distended large intestine',32,6.4,b'clear',1.1,b'lived',b'yes'
b'yes',b'adult',38.4,84,30,b'cool',b'normal',b'bright red',b'>=3',b'intermittent severe pain',b'hypomotile',b'moderate',b'slight',b'<1l',6.5,b'absent',b'distended small intestine',47,7.5,b'serosanguinous',,b'died',b'yes'
b'yes',b'adult',38.1,84,44,b'cold',b'?',b'pale cyanotic',b'>=3',b'continuous severe pain',b'hypomotile',b'none',b'none',b'<1l',5,b'?',b'distended small intestine',60,6.8,b'?',5.7,b'died',b'yes'
b'no',b'adult',38.7,52,,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'?',b'?',,b'normal',b'firm feces in large intestine',4,74,b'?',,b'lived',b'no'
b'no',b'adult',38.1,44,40,b'warm',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'?',b'?',,b'normal',b'firm feces in large intestine',35,6.8,b'?',,b'lived',b'no'
b'no',b'adult',38.4,52,20,b'warm',b'normal',b'pale pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'slight',b'none',,b'decreased',b'distended large intestine',41,63,b'clear',1,b'lived',b'no'
b'yes',b'adult',38.2,60,,b'normal',b'?',b'pale pink',b'<3',b'depressed',b'hypermotile',b'none',b'none',b'none',,b'absent',b'distended small intestine',43,6.2,b'cloudy',3.9,b'lived',b'yes'
b'no',b'adult',37.7,40,18,b'normal',b'normal',b'normal pink',b'?',b'intermittent mild pain',b'normal',b'none',b'none',b'none',,b'decreased',b'firm feces in large intestine',36,3.5,b'?',,b'lived',b'no'
b'yes',b'adult',39.1,60,10,b'?',b'normal',b'normal pink',b'?',b'depressed',b'hypomotile',b'?',b'?',b'?',,b'absent',b'distended small intestine',,,b'?',,b'lived',b'yes'
b'no',b'adult',37.8,48,16,b'normal',b'normal',b'normal pink',b'<3',b'?',b'hypermotile',b'none',b'slight',b'none',,b'absent',b'firm feces in large intestine',43,7.5,b'?',,b'lived',b'no'
b'yes',b'adult',39,120,,b'cold',b'reduced',b'bright red',b'>=3',b'depressed',b'absent',b'moderate',b'slight',b'<1l',8,b'?',b'?',65,8.2,b'serosanguinous',4.6,b'lived',b'no'
b'yes',b'adult',38.2,76,,b'warm',b'reduced',b'bright pink',b'<3',b'continuous severe pain',b'hypomotile',b'moderate',b'none',b'>1l',6,b'normal',b'distended large intestine',35,6.5,b'cloudy',0.9,b'lived',b'yes'
b'no',b'adult',38.3,88,,b'?',b'?',b'dark cyanotic',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'died',b'no'
b'yes',b'adult',38,80,30,b'cool',b'reduced',b'pale pink',b'<3',b'?',b'?',b'?',b'?',b'?',6,b'?',b'?',48,8.3,b'?',4.3,b'lived',b'yes'
b'yes',b'adult',,,,b'cool',b'normal',b'normal pink',b'<3',b'depressed',b'hypomotile',b'moderate',b'none',b'<1l',6,b'absent',b'distended small intestine',,,b'cloudy',,b'died',b'yes'
b'yes',b'adult',37.6,40,,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'?',b'?',,b'normal',b'normal',,,b'cloudy',2.1,b'lived',b'yes'
b'no',b'adult',37.5,44,,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'?',b'?',,b'?',b'?',45,5.8,b'cloudy',1.4,b'lived',b'no'
b'no',b'adult',38.2,42,16,b'normal',b'normal',b'pale pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'?',b'?',,b'normal',b'?',35,60,b'clear',1,b'lived',b'no'
b'no',b'adult',38,56,44,b'cool',b'reduced',b'pale pink',b'?',b'?',b'hypermotile',b'none',b'slight',b'none',,b'absent',b'?',47,70,b'cloudy',1,b'lived',b'no'
b'no',b'adult',38.3,45,20,b'cool',b'reduced',b'bright pink',b'>=3',b'depressed',b'absent',b'none',b'slight',b'?',,b'absent',b'?',,,b'?',,b'lived',b'no'
b'yes',b'adult',,48,96,b'normal',b'normal',b'pale pink',b'<3',b'?',b'absent',b'none',b'slight',b'none',,b'normal',b'distended small intestine',42,8,b'clear',,b'lived',b'yes'
b'yes',b'adult',37.7,55,28,b'warm',b'normal',b'bright pink',b'<3',b'depressed',b'hypomotile',b'moderate',b'?',b'<1l',5,b'absent',b'distended large intestine',,,b'?',,b'lived',b'yes'
b'no',b'adult',36,100,20,b'cold',b'reduced',b'dark cyanotic',b'>=3',b'depressed',b'absent',b'moderate',b'none',b'none',,b'absent',b'distended large intestine',74,5.7,b'cloudy',2.5,b'euthanized',b'yes'
b'yes',b'adult',37.1,60,20,b'warm',b'?',b'pale cyanotic',b'<3',b'intermittent mild pain',b'?',b'moderate',b'?',b'>1l',5,b'decreased',b'distended small intestine',64,8.5,b'cloudy',,b'lived',b'yes'
b'no',b'adult',37.1,114,40,b'cool',b'?',b'pale pink',b'>=3',b'depressed',b'normal',b'none',b'?',b'?',,b'?',b'firm feces in large intestine',32,,b'serosanguinous',6.5,b'lived',b'no'
b'yes',b'adult',38.1,72,30,b'cool',b'reduced',b'pale pink',b'<3',b'intermittent severe pain',b'absent',b'moderate',b'slight',b'none',,b'decreased',b'distended large intestine',37,56,b'serosanguinous',1,b'lived',b'yes'
b'yes',b'adult',37,44,12,b'cool',b'normal',b'normal pink',b'>=3',b'alert no pain',b'hypermotile',b'none',b'?',b'?',,b'absent',b'other',40,6.7,b'serosanguinous',8,b'lived',b'yes'
b'yes',b'adult',38.6,48,20,b'cool',b'normal',b'normal pink',b'<3',b'intermittent severe pain',b'hypomotile',b'none',b'?',b'?',,b'decreased',b'?',37,75,b'?',,b'lived',b'yes'
b'yes',b'adult',,82,72,b'cool',b'normal',b'pale cyanotic',b'<3',b'depressed',b'hypomotile',b'moderate',b'?',b'<1l',,b'absent',b'distended small intestine',53,65,b'serosanguinous',2,b'euthanized',b'yes'
b'yes',b'young',38.2,78,60,b'cold',b'absent',b'dark cyanotic',b'?',b'intermittent mild pain',b'hypomotile',b'moderate',b'?',b'?',,b'normal',b'?',59,5.8,b'serosanguinous',3.1,b'died',b'yes'
b'no',b'adult',37.8,60,16,b'normal',b'normal',b'pale pink',b'<3',b'depressed',b'hypomotile',b'slight',b'none',b'>1l',,b'decreased',b'?',41,73,b'?',,b'euthanized',b'no'
b'yes',b'adult',38.7,34,30,b'warm',b'?',b'pale pink',b'<3',b'depressed',b'hypomotile',b'?',b'?',b'?',,b'?',b'?',33,69,b'?',2,b'euthanized',b'yes'
b'yes',b'adult',,36,12,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'normal',b'none',b'none',b'none',,b'normal',b'distended large intestine',44,,b'?',,b'lived',b'yes'
b'no',b'adult',38.3,44,60,b'?',b'?',b'normal pink',b'<3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',6.4,36,b'?',,b'lived',b'yes'
b'no',b'adult',37.4,54,18,b'cool',b'?',b'normal pink',b'<3',b'intermittent mild pain',b'absent',b'moderate',b'slight',b'>1l',,b'absent',b'distended large intestine',30,7.1,b'cloudy',,b'lived',b'yes'
b'yes',b'adult',,,,b'cold',b'reduced',b'?',b'>=3',b'depressed',b'absent',b'none',b'?',b'?',,b'?',b'?',54,76,b'serosanguinous',2,b'lived',b'yes'
b'yes',b'adult',36.6,48,16,b'cool',b'normal',b'pale pink',b'<3',b'intermittent severe pain',b'hypermotile',b'none',b'none',b'none',,b'?',b'?',27,56,b'?',,b'euthanized',b'yes'
b'yes',b'adult',38.5,90,,b'normal',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'slight',b'<1l',2,b'absent',b'distended large intestine',47,79,b'?',,b'lived',b'yes'
b'yes',b'adult',,75,12,b'normal',b'normal',b'pale cyanotic',b'<3',b'continuous severe pain',b'hypomotile',b'moderate',b'?',b'<1l',5.8,b'?',b'?',58,8.5,b'clear',,b'lived',b'yes'
b'no',b'adult',38.2,42,,b'cool',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'slight',b'slight',b'none',,b'decreased',b'other',35,5.9,b'cloudy',,b'lived',b'no'
b'yes',b'young',38.2,78,60,b'cold',b'absent',b'dark cyanotic',b'?',b'intermittent mild pain',b'hypomotile',b'moderate',b'?',b'?',,b'normal',b'?',59,5.8,b'serosanguinous',3.1,b'died',b'yes'
b'no',b'adult',38.6,60,30,b'normal',b'normal',b'pale pink',b'<3',b'intermittent severe pain',b'normal',b'slight',b'none',b'none',,b'?',b'?',40,6,b'clear',,b'lived',b'yes'
b'no',b'adult',37.8,42,40,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'?',b'?',,b'decreased',b'firm feces in large intestine',36,6.2,b'?',,b'lived',b'no'
b'yes',b'adult',38,60,12,b'normal',b'normal',b'bright pink',b'<3',b'depressed',b'hypermotile',b'none',b'none',b'none',,b'normal',b'distended small intestine',44,65,b'serosanguinous',2,b'euthanized',b'yes'
b'no',b'adult',38,42,12,b'cool',b'?',b'pale pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'?',b'?',,b'?',b'normal',37,5.8,b'?',,b'lived',b'no'
b'no',b'adult',37.6,88,36,b'cool',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'none',b'<1l',1.5,b'?',b'?',44,6,b'?',,b'died',b'yes'
,,,,,,,,,,,,,,,,,,21.87663043,,,,
